nation	civil-unions	marriage	adoption	marriage-ban
Albania				
Andorra	2005-03-23			
Armenia				
Austria	2010-01-01		2013-08-01	
Azerbaijan				
Belarus				
Belgium	2000-01-01	2003-06-01	2006-05-18	
Bosnia and Herzegovina				
Bulgaria				
Croatia	2014-08-05			2013-12-01
Cyprus				
Czech Republic	2006-07-01			
Denmark	1989-10-01	2012-06-15		
Estonia	2016-01-01			
Finland	2002-03-01		2009-05-01	
Former Yugoslav Republic of Macedonia, the				
France (metropolitan)	1999-11-15	2013-05-19	2013-05-19	
Georgia				
Germany (including former GDR)	2001-08-01	2013-03-22	2014-06-01	
Greece				
Hungary	2009-07-01			
Iceland	1996-06-01	2010-06-27		
Ireland	2011-01-01			
Italy				
Kosovo (under United Nations Security Council Resolution 1244/99)				
Latvia				
Liechtenstein	2011-09-01			
Lithuania				
Luxembourg	2004-11-01	2015-01-01		
Malta	2014-04-14			
Moldova				
Montenegro				
Netherlands	1998-01-01	2001-04-01	2001-04-01	
Norway	1993-08-01	2009-01-01		
Poland				
Portugal		2010-06-05		
Romania				
Russia				
San Marino				
Serbia				
Slovakia				
Slovenia	2006-06-23			
Spain		2005-07-03		
Sweden	1995-01-01	2009-05-01		
Switzerland	2007-01-01			
Turkey				
Ukraine				
United Kingdom	2005-12-05	2014-03-13		
