"TIME","GEO","CITIZEN","AGE","SEX","Value","Flag and Footnotes"
"1998","Tajikistan","Total","From 15 to 19 years","Females",":",""
"1998","Uzbekistan","Total","From 10 to 14 years","Females",":",""
"1998","Uzbekistan","Total","From 15 to 19 years","Females",":",""
"1998","Armenia","Total","From 10 to 14 years","Females",":",""
"1998","Armenia","Total","From 15 to 19 years","Females",":",""
"1998","Azerbaijan","Total","From 10 to 14 years","Females",":",""
"1998","Azerbaijan","Total","From 15 to 19 years","Females",":",""
"1998","Israel","Total","From 10 to 14 years","Females",":",""
"1998","Israel","Total","From 15 to 19 years","Females",":",""
"1999","European Union (27 countries)","Total","From 10 to 14 years","Females",":",""
"1999","European Union (27 countries)","Total","From 15 to 19 years","Females",":",""
"1999","Belgium","Total","From 10 to 14 years","Females","292,115",""
"1999","Belgium","Total","From 15 to 19 years","Females","303,281",""
"1999","Bulgaria","Total","From 10 to 14 years","Females",":",""
"1999","Bulgaria","Total","From 15 to 19 years","Females",":",""
"1999","Czech Republic","Total","From 10 to 14 years","Females",":",""
"1999","Czech Republic","Total","From 15 to 19 years","Females",":",""
"1999","Denmark","Total","From 10 to 14 years","Females","140,870",""
"1999","Denmark","Total","From 15 to 19 years","Females","140,849",""
"1999","Germany (until 1990 former territory of the FRG)","Total","From 10 to 14 years","Females","2,255,725",""
"1999","Germany (until 1990 former territory of the FRG)","Total","From 15 to 19 years","Females","2,240,268",""
"1999","Estonia","Total","From 10 to 14 years","Females",":",""
"1999","Estonia","Total","From 15 to 19 years","Females",":",""
"1999","Ireland","Total","From 10 to 14 years","Females",":",""
"1999","Ireland","Total","From 15 to 19 years","Females",":",""
"1999","Greece","Total","From 10 to 14 years","Females",":",""
"1999","Greece","Total","From 15 to 19 years","Females",":",""
"1999","Spain","Total","From 10 to 14 years","Females","1,083,088",""
"1999","Spain","Total","From 15 to 19 years","Females","1,356,683",""
"1999","France","Total","From 10 to 14 years","Females",":",""
"1999","France","Total","From 15 to 19 years","Females",":",""
"1999","Croatia","Total","From 10 to 14 years","Females",":",""
"1999","Croatia","Total","From 15 to 19 years","Females",":",""
"1999","Italy","Total","From 10 to 14 years","Females","1,356,914",""
"1999","Italy","Total","From 15 to 19 years","Females","1,535,236",""
"1999","Cyprus","Total","From 10 to 14 years","Females",":",""
"1999","Cyprus","Total","From 15 to 19 years","Females",":",""
"1999","Latvia","Total","From 10 to 14 years","Females",":",""
"1999","Latvia","Total","From 15 to 19 years","Females",":",""
"1999","Lithuania","Total","From 10 to 14 years","Females",":",""
"1999","Lithuania","Total","From 15 to 19 years","Females",":",""
"1999","Luxembourg","Total","From 10 to 14 years","Females",":",""
"1999","Luxembourg","Total","From 15 to 19 years","Females",":",""
"1999","Hungary","Total","From 10 to 14 years","Females","303,769",""
"1999","Hungary","Total","From 15 to 19 years","Females","340,629",""
"1999","Malta","Total","From 10 to 14 years","Females",":",""
"1999","Malta","Total","From 15 to 19 years","Females",":",""
"1999","Netherlands","Total","From 10 to 14 years","Females","462,170",""
"1999","Netherlands","Total","From 15 to 19 years","Females","451,450",""
"1999","Austria","Total","From 10 to 14 years","Females",":",""
"1999","Austria","Total","From 15 to 19 years","Females",":",""
"1999","Poland","Total","From 10 to 14 years","Females",":",""
"1999","Poland","Total","From 15 to 19 years","Females",":",""
"1999","Portugal","Total","From 10 to 14 years","Females",":",""
"1999","Portugal","Total","From 15 to 19 years","Females",":",""
"1999","Romania","Total","From 10 to 14 years","Females",":",""
"1999","Romania","Total","From 15 to 19 years","Females",":",""
"1999","Slovenia","Total","From 10 to 14 years","Females","62,537",""
"1999","Slovenia","Total","From 15 to 19 years","Females","70,301",""
"1999","Slovakia","Total","From 10 to 14 years","Females",":",""
"1999","Slovakia","Total","From 15 to 19 years","Females",":",""
"1999","Finland","Total","From 10 to 14 years","Females","155,485",""
"1999","Finland","Total","From 15 to 19 years","Females","161,419",""
"1999","Sweden","Total","From 10 to 14 years","Females","263,615",""
"1999","Sweden","Total","From 15 to 19 years","Females","245,632",""
"1999","United Kingdom","Total","From 10 to 14 years","Females",":",""
"1999","United Kingdom","Total","From 15 to 19 years","Females",":",""
"1999","Iceland","Total","From 10 to 14 years","Females","9,962",""
"1999","Iceland","Total","From 15 to 19 years","Females","10,731",""
"1999","Liechtenstein","Total","From 10 to 14 years","Females",":",""
"1999","Liechtenstein","Total","From 15 to 19 years","Females",":",""
"1999","Norway","Total","From 10 to 14 years","Females",":",""
"1999","Norway","Total","From 15 to 19 years","Females",":",""
"1999","Switzerland","Total","From 10 to 14 years","Females","201,635",""
"1999","Switzerland","Total","From 15 to 19 years","Females","199,380",""
"1999","Montenegro","Total","From 10 to 14 years","Females",":",""
"1999","Montenegro","Total","From 15 to 19 years","Females",":",""
"1999","Former Yugoslav Republic of Macedonia, the","Total","From 10 to 14 years","Females",":",""
"1999","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 19 years","Females",":",""
"1999","Albania","Total","From 10 to 14 years","Females",":",""
"1999","Albania","Total","From 15 to 19 years","Females",":",""
"1999","Turkey","Total","From 10 to 14 years","Females",":",""
"1999","Turkey","Total","From 15 to 19 years","Females",":",""
"1999","Andorra","Total","From 10 to 14 years","Females",":",""
"1999","Andorra","Total","From 15 to 19 years","Females",":",""
"1999","Moldova","Total","From 10 to 14 years","Females",":",""
"1999","Moldova","Total","From 15 to 19 years","Females",":",""
"1999","Ukraine","Total","From 10 to 14 years","Females",":",""
"1999","Ukraine","Total","From 15 to 19 years","Females",":",""
"1999","Tajikistan","Total","From 10 to 14 years","Females",":",""
"1999","Tajikistan","Total","From 15 to 19 years","Females",":",""
"1999","Uzbekistan","Total","From 10 to 14 years","Females",":",""
"1999","Uzbekistan","Total","From 15 to 19 years","Females",":",""
"1999","Armenia","Total","From 10 to 14 years","Females",":",""
"1999","Armenia","Total","From 15 to 19 years","Females",":",""
"1999","Azerbaijan","Total","From 10 to 14 years","Females",":",""
"1999","Azerbaijan","Total","From 15 to 19 years","Females",":",""
"1999","Israel","Total","From 10 to 14 years","Females",":",""
"1999","Israel","Total","From 15 to 19 years","Females",":",""
"2000","European Union (27 countries)","Total","From 10 to 14 years","Females",":",""
"2000","European Union (27 countries)","Total","From 15 to 19 years","Females",":",""
"2000","Belgium","Total","From 10 to 14 years","Females","295,574",""
"2000","Belgium","Total","From 15 to 19 years","Females","301,328",""
"2000","Bulgaria","Total","From 10 to 14 years","Females",":",""
"2000","Bulgaria","Total","From 15 to 19 years","Females",":",""
"2000","Czech Republic","Total","From 10 to 14 years","Females",":",""
"2000","Czech Republic","Total","From 15 to 19 years","Females",":",""
"2000","Denmark","Total","From 10 to 14 years","Females","145,483",""
"2000","Denmark","Total","From 15 to 19 years","Females","137,939",""
"2000","Germany (until 1990 former territory of the FRG)","Total","From 10 to 14 years","Females","2,286,823",""
"2000","Germany (until 1990 former territory of the FRG)","Total","From 15 to 19 years","Females","2,256,012",""
"2000","Estonia","Total","From 10 to 14 years","Females",":",""
"2000","Estonia","Total","From 15 to 19 years","Females",":",""
"2000","Ireland","Total","From 10 to 14 years","Females",":",""
"2000","Ireland","Total","From 15 to 19 years","Females",":",""
"2000","Greece","Total","From 10 to 14 years","Females",":",""
"2000","Greece","Total","From 15 to 19 years","Females",":",""
"2000","Spain","Total","From 10 to 14 years","Females","1,055,710",""
"2000","Spain","Total","From 15 to 19 years","Females","1,301,617",""
"2000","France","Total","From 10 to 14 years","Females",":",""
"2000","France","Total","From 15 to 19 years","Females",":",""
"2000","Croatia","Total","From 10 to 14 years","Females",":",""
"2000","Croatia","Total","From 15 to 19 years","Females",":",""
"2000","Italy","Total","From 10 to 14 years","Females","1,351,739",""
"2000","Italy","Total","From 15 to 19 years","Females","1,499,300",""
"2000","Cyprus","Total","From 10 to 14 years","Females",":",""
"2000","Cyprus","Total","From 15 to 19 years","Females",":",""
"2000","Latvia","Total","From 10 to 14 years","Females",":",""
"2000","Latvia","Total","From 15 to 19 years","Females",":",""
"2000","Lithuania","Total","From 10 to 14 years","Females",":",""
"2000","Lithuania","Total","From 15 to 19 years","Females",":",""
"2000","Luxembourg","Total","From 10 to 14 years","Females",":",""
"2000","Luxembourg","Total","From 15 to 19 years","Females",":",""
"2000","Hungary","Total","From 10 to 14 years","Females","300,710",""
"2000","Hungary","Total","From 15 to 19 years","Females","320,092",""
"2000","Malta","Total","From 10 to 14 years","Females",":",""
"2000","Malta","Total","From 15 to 19 years","Females",":",""
"2000","Netherlands","Total","From 10 to 14 years","Females","470,039",""
"2000","Netherlands","Total","From 15 to 19 years","Females","452,554",""
"2000","Austria","Total","From 10 to 14 years","Females",":",""
"2000","Austria","Total","From 15 to 19 years","Females",":",""
