"TIME","GEO","AGE","Value","Flag and Footnotes"
"1960","Belgium","Total",":",""
"1960","Belgium","Less than 15 years",":",""
"1960","Belgium","From 15 to 19 years",":",""
"1960","Bulgaria","Total","143,155",""
"1960","Bulgaria","Less than 15 years",":",""
"1960","Bulgaria","From 15 to 19 years",":",""
"1960","Czech Republic","Total","67,550",""
"1960","Czech Republic","Less than 15 years",":",""
"1960","Czech Republic","From 15 to 19 years",":",""
"1960","Denmark","Total","3,918",""
"1960","Denmark","Less than 15 years",":",""
"1960","Denmark","From 15 to 19 years",":",""
"1960","Germany (until 1990 former territory of the FRG)","Total",":",""
"1960","Germany (until 1990 former territory of the FRG)","Less than 15 years",":",""
"1960","Germany (until 1990 former territory of the FRG)","From 15 to 19 years",":",""
"1960","Estonia","Total",":",""
"1960","Estonia","Less than 15 years",":",""
"1960","Estonia","From 15 to 19 years",":",""
"1960","Greece","Total",":",""
"1960","Greece","Less than 15 years",":",""
"1960","Greece","From 15 to 19 years",":",""
"1960","Spain","Total",":",""
"1960","Spain","Less than 15 years",":",""
"1960","Spain","From 15 to 19 years",":",""
"1960","France","Total",":",""
"1960","France","Less than 15 years",":",""
"1960","France","From 15 to 19 years",":",""
"1960","Croatia","Total",":",""
"1960","Croatia","Less than 15 years",":",""
"1960","Croatia","From 15 to 19 years",":",""
"1960","Italy","Total",":",""
"1960","Italy","Less than 15 years",":",""
"1960","Italy","From 15 to 19 years",":",""
"1960","Latvia","Total",":",""
"1960","Latvia","Less than 15 years",":",""
"1960","Latvia","From 15 to 19 years",":",""
"1960","Lithuania","Total","36,500",""
"1960","Lithuania","Less than 15 years",":",""
"1960","Lithuania","From 15 to 19 years",":",""
"1960","Hungary","Total","162,160",""
"1960","Hungary","Less than 15 years",":",""
"1960","Hungary","From 15 to 19 years",":",""
"1960","Netherlands","Total",":",""
"1960","Netherlands","Less than 15 years",":",""
"1960","Netherlands","From 15 to 19 years",":",""
"1960","Austria","Total","18,926",""
"1960","Austria","Less than 15 years",":",""
"1960","Austria","From 15 to 19 years",":",""
"1960","Poland","Total","150,418",""
"1960","Poland","Less than 15 years",":",""
"1960","Poland","From 15 to 19 years",":",""
"1960","Portugal","Total",":",""
"1960","Portugal","Less than 15 years",":",""
"1960","Portugal","From 15 to 19 years",":",""
"1960","Romania","Total","769,776",""
"1960","Romania","Less than 15 years",":",""
"1960","Romania","From 15 to 19 years",":",""
"1960","Slovenia","Total",":",""
"1960","Slovenia","Less than 15 years",":",""
"1960","Slovenia","From 15 to 19 years",":",""
"1960","Slovakia","Total","29,389",""
"1960","Slovakia","Less than 15 years",":",""
"1960","Slovakia","From 15 to 19 years",":",""
"1960","Finland","Total",":",""
"1960","Finland","Less than 15 years",":",""
"1960","Finland","From 15 to 19 years",":",""
"1960","Sweden","Total","2,792",""
"1960","Sweden","Less than 15 years",":",""
"1960","Sweden","From 15 to 19 years",":",""
"1960","United Kingdom","Total",":",""
"1960","United Kingdom","Less than 15 years",":",""
"1960","United Kingdom","From 15 to 19 years",":",""
"1960","Iceland","Total","55",""
"1960","Iceland","Less than 15 years",":",""
"1960","Iceland","From 15 to 19 years",":",""
"1960","Norway","Total",":",""
"1960","Norway","Less than 15 years",":",""
"1960","Norway","From 15 to 19 years",":",""
"1960","Switzerland","Total",":",""
"1960","Switzerland","Less than 15 years",":",""
"1960","Switzerland","From 15 to 19 years",":",""
