TIME,GEO,AGE,Value,Flag and Footnotes
1960,Belgium,Total,151584,
1960,Belgium,From 10 to 14 years,:,
1960,Belgium,From 15 to 19 years,:,
1960,Bulgaria,Total,140082,
1960,Bulgaria,From 10 to 14 years,:,
1960,Bulgaria,From 15 to 19 years,:,
1960,Czech Republic,Total,128879,
1960,Czech Republic,From 10 to 14 years,:,
1960,Czech Republic,From 15 to 19 years,:,
1960,Denmark,Total,76072,
1960,Denmark,From 10 to 14 years,:,
1960,Denmark,From 15 to 19 years,:,
1960,Germany (until 1990 former territory of the FRG),Total,:,
1960,Germany (until 1990 former territory of the FRG),From 10 to 14 years,:,
1960,Germany (until 1990 former territory of the FRG),From 15 to 19 years,:,
1960,Germany (including former GDR),Total,907299,
1960,Germany (including former GDR),From 10 to 14 years,:,
1960,Germany (including former GDR),From 15 to 19 years,:,
1960,Estonia,Total,20187,
1960,Estonia,From 10 to 14 years,:,
1960,Estonia,From 15 to 19 years,:,
1960,Ireland,Total,60735,
1960,Ireland,From 10 to 14 years,:,
1960,Ireland,From 15 to 19 years,:,
1960,Greece,Total,157239,
1960,Greece,From 10 to 14 years,:,
1960,Greece,From 15 to 19 years,:,
1960,Spain,Total,:,
1960,Spain,From 10 to 14 years,:,
1960,Spain,From 15 to 19 years,:,
1960,France,Total,:,
1960,France,From 10 to 14 years,:,
1960,France,From 15 to 19 years,:,
1960,France (metropolitan),Total,766866,
1960,France (metropolitan),From 10 to 14 years,:,
1960,France (metropolitan),From 15 to 19 years,:,
1960,Croatia,Total,:,
1960,Croatia,From 10 to 14 years,:,
1960,Croatia,From 15 to 19 years,:,
1960,Italy,Total,888154,
1960,Italy,From 10 to 14 years,:,
1960,Italy,From 15 to 19 years,:,
1960,Cyprus,Total,15059,
1960,Cyprus,From 10 to 14 years,:,
1960,Cyprus,From 15 to 19 years,:,
1960,Latvia,Total,35468,
1960,Latvia,From 10 to 14 years,:,
1960,Latvia,From 15 to 19 years,:,
1960,Lithuania,Total,62485,
1960,Lithuania,From 10 to 14 years,:,
1960,Lithuania,From 15 to 19 years,:,
1960,Luxembourg,Total,4860,
1960,Luxembourg,From 10 to 14 years,:,
1960,Luxembourg,From 15 to 19 years,:,
1960,Hungary,Total,146461,
1960,Hungary,From 10 to 14 years,:,
1960,Hungary,From 15 to 19 years,:,
1960,Malta,Total,:,
1960,Malta,From 10 to 14 years,:,
1960,Malta,From 15 to 19 years,:,
1960,Netherlands,Total,239128,
1960,Netherlands,From 10 to 14 years,10,
1960,Netherlands,From 15 to 19 years,5422,
1960,Austria,Total,:,
1960,Austria,From 10 to 14 years,:,
1960,Austria,From 15 to 19 years,:,
1960,Poland,Total,:,
1960,Poland,From 10 to 14 years,:,
1960,Poland,From 15 to 19 years,:,
1960,Portugal,Total,:,
1960,Portugal,From 10 to 14 years,:,
1960,Portugal,From 15 to 19 years,:,
1960,Romania,Total,324859,
1960,Romania,From 10 to 14 years,:,
1960,Romania,From 15 to 19 years,:,
1960,Slovenia,Total,27825,
1960,Slovenia,From 10 to 14 years,:,
1960,Slovenia,From 15 to 19 years,:,
1960,Slovakia,Total,88412,
1960,Slovakia,From 10 to 14 years,:,
1960,Slovakia,From 15 to 19 years,:,
1960,Finland,Total,82129,
1960,Finland,From 10 to 14 years,:,
1960,Finland,From 15 to 19 years,:,
1960,Sweden,Total,:,
1960,Sweden,From 10 to 14 years,:,
1960,Sweden,From 15 to 19 years,:,
1960,United Kingdom,Total,839181,
1960,United Kingdom,From 10 to 14 years,:,
1960,United Kingdom,From 15 to 19 years,:,
1960,Iceland,Total,4916,
1960,Iceland,From 10 to 14 years,:,
1960,Iceland,From 15 to 19 years,:,
1960,Norway,Total,:,
1960,Norway,From 10 to 14 years,:,
1960,Norway,From 15 to 19 years,:,
1960,Switzerland,Total,90762,
1960,Switzerland,From 10 to 14 years,:,
1960,Switzerland,From 15 to 19 years,:,
1960,Montenegro,Total,:,
1960,Montenegro,From 10 to 14 years,:,
1960,Montenegro,From 15 to 19 years,:,
1960,"Former Yugoslav Republic of Macedonia, the",Total,44059,
1960,"Former Yugoslav Republic of Macedonia, the",From 10 to 14 years,:,
1960,"Former Yugoslav Republic of Macedonia, the",From 15 to 19 years,:,
1960,Serbia,Total,:,
1960,Serbia,From 10 to 14 years,:,
1960,Serbia,From 15 to 19 years,:,
1960,Albania,Total,69686,
1960,Albania,From 10 to 14 years,:,
1960,Albania,From 15 to 19 years,:,
1960,Belarus,Total,:,
1960,Belarus,From 10 to 14 years,:,
1960,Belarus,From 15 to 19 years,:,
1960,Bosnia and Herzegovina,Total,:,
1960,Bosnia and Herzegovina,From 10 to 14 years,:,
1960,Bosnia and Herzegovina,From 15 to 19 years,:,
1960,Kosovo (under United Nations Security Council Resolution 1244/99),Total,:,
1960,Kosovo (under United Nations Security Council Resolution 1244/99),From 10 to 14 years,:,
1960,Kosovo (under United Nations Security Council Resolution 1244/99),From 15 to 19 years,:,
1960,Moldova,Total,:,
1960,Moldova,From 10 to 14 years,:,
1960,Moldova,From 15 to 19 years,:,
1960,San Marino,Total,:,
1960,San Marino,From 10 to 14 years,:,
1960,San Marino,From 15 to 19 years,:,
1960,Ukraine,Total,:,
1960,Ukraine,From 10 to 14 years,:,
1960,Ukraine,From 15 to 19 years,:,
1960,Armenia,Total,:,
1960,Armenia,From 10 to 14 years,:,
1960,Armenia,From 15 to 19 years,:,
1960,Azerbaijan,Total,:,
1960,Azerbaijan,From 10 to 14 years,:,
1960,Azerbaijan,From 15 to 19 years,:,
1960,Georgia,Total,:,
1960,Georgia,From 10 to 14 years,:,
1960,Georgia,From 15 to 19 years,:,
1961,Belgium,Total,:,
1961,Belgium,From 10 to 14 years,:,
1961,Belgium,From 15 to 19 years,:,
1961,Bulgaria,Total,:,
1961,Bulgaria,From 10 to 14 years,:,
1961,Bulgaria,From 15 to 19 years,:,
1961,Czech Republic,Total,:,
1961,Czech Republic,From 10 to 14 years,:,
1961,Czech Republic,From 15 to 19 years,:,
1961,Denmark,Total,:,
1961,Denmark,From 10 to 14 years,:,
1961,Denmark,From 15 to 19 years,:,
1961,Germany (until 1990 former territory of the FRG),Total,:,
1961,Germany (until 1990 former territory of the FRG),From 10 to 14 years,:,
1961,Germany (until 1990 former territory of the FRG),From 15 to 19 years,:,
1961,Germany (including former GDR),Total,:,
1961,Germany (including former GDR),From 10 to 14 years,:,
1961,Germany (including former GDR),From 15 to 19 years,:,
1961,Estonia,Total,20230,
1961,Estonia,From 10 to 14 years,:,
1961,Estonia,From 15 to 19 years,:,
1961,Ireland,Total,:,
1961,Ireland,From 10 to 14 years,:,
1961,Ireland,From 15 to 19 years,:,
1961,Greece,Total,:,
1961,Greece,From 10 to 14 years,:,
1961,Greece,From 15 to 19 years,:,
1961,Spain,Total,:,
1961,Spain,From 10 to 14 years,:,
1961,Spain,From 15 to 19 years,:,
1961,France,Total,:,
1961,France,From 10 to 14 years,:,
1961,France,From 15 to 19 years,:,
1961,France (metropolitan),Total,:,
1961,France (metropolitan),From 10 to 14 years,:,
1961,France (metropolitan),From 15 to 19 years,:,
1961,Croatia,Total,:,
1961,Croatia,From 10 to 14 years,:,
1961,Croatia,From 15 to 19 years,:,
1961,Italy,Total,:,
1961,Italy,From 10 to 14 years,:,
1961,Italy,From 15 to 19 years,:,
1961,Cyprus,Total,:,
1961,Cyprus,From 10 to 14 years,:,
1961,Cyprus,From 15 to 19 years,:,
1961,Latvia,Total,:,
1961,Latvia,From 10 to 14 years,:,
1961,Latvia,From 15 to 19 years,:,
1961,Lithuania,Total,:,
1961,Lithuania,From 10 to 14 years,:,
1961,Lithuania,From 15 to 19 years,:,
1961,Luxembourg,Total,:,
1961,Luxembourg,From 10 to 14 years,:,
1961,Luxembourg,From 15 to 19 years,:,
1961,Hungary,Total,:,
1961,Hungary,From 10 to 14 years,:,
1961,Hungary,From 15 to 19 years,:,
1961,Malta,Total,:,
1961,Malta,From 10 to 14 years,:,
1961,Malta,From 15 to 19 years,:,
1961,Netherlands,Total,247407,
1961,Netherlands,From 10 to 14 years,17,
1961,Netherlands,From 15 to 19 years,6205,
1961,Austria,Total,:,
1961,Austria,From 10 to 14 years,:,
1961,Austria,From 15 to 19 years,:,
1961,Poland,Total,:,
1961,Poland,From 10 to 14 years,:,
1961,Poland,From 15 to 19 years,:,
1961,Portugal,Total,:,
1961,Portugal,From 10 to 14 years,:,
1961,Portugal,From 15 to 19 years,:,
1961,Romania,Total,:,
1961,Romania,From 10 to 14 years,:,
1961,Romania,From 15 to 19 years,:,
1961,Slovenia,Total,:,
1961,Slovenia,From 10 to 14 years,:,
1961,Slovenia,From 15 to 19 years,:,
1961,Slovakia,Total,:,
1961,Slovakia,From 10 to 14 years,:,
1961,Slovakia,From 15 to 19 years,:,
1961,Finland,Total,:,
1961,Finland,From 10 to 14 years,:,
1961,Finland,From 15 to 19 years,:,
1961,Sweden,Total,:,
1961,Sweden,From 10 to 14 years,:,
1961,Sweden,From 15 to 19 years,:,
1961,United Kingdom,Total,:,
1961,United Kingdom,From 10 to 14 years,:,
1961,United Kingdom,From 15 to 19 years,:,
1961,Iceland,Total,:,
1961,Iceland,From 10 to 14 years,:,
1961,Iceland,From 15 to 19 years,:,
1961,Norway,Total,:,
1961,Norway,From 10 to 14 years,:,
1961,Norway,From 15 to 19 years,:,
1961,Switzerland,Total,:,
1961,Switzerland,From 10 to 14 years,:,
1961,Switzerland,From 15 to 19 years,:,
1961,Montenegro,Total,:,
1961,Montenegro,From 10 to 14 years,:,
1961,Montenegro,From 15 to 19 years,:,
1961,"Former Yugoslav Republic of Macedonia, the",Total,:,
1961,"Former Yugoslav Republic of Macedonia, the",From 10 to 14 years,:,
1961,"Former Yugoslav Republic of Macedonia, the",From 15 to 19 years,:,
1961,Serbia,Total,:,
1961,Serbia,From 10 to 14 years,:,
1961,Serbia,From 15 to 19 years,:,
1961,Albania,Total,:,
1961,Albania,From 10 to 14 years,:,
1961,Albania,From 15 to 19 years,:,
1961,Belarus,Total,:,
1961,Belarus,From 10 to 14 years,:,
1961,Belarus,From 15 to 19 years,:,
1961,Bosnia and Herzegovina,Total,:,
1961,Bosnia and Herzegovina,From 10 to 14 years,:,
1961,Bosnia and Herzegovina,From 15 to 19 years,:,
1961,Kosovo (under United Nations Security Council Resolution 1244/99),Total,:,
1961,Kosovo (under United Nations Security Council Resolution 1244/99),From 10 to 14 years,:,
1961,Kosovo (under United Nations Security Council Resolution 1244/99),From 15 to 19 years,:,
1961,Moldova,Total,:,
1961,Moldova,From 10 to 14 years,:,
1961,Moldova,From 15 to 19 years,:,
1961,San Marino,Total,:,
1961,San Marino,From 10 to 14 years,:,
1961,San Marino,From 15 to 19 years,:,
1961,Ukraine,Total,:,
1961,Ukraine,From 10 to 14 years,:,
1961,Ukraine,From 15 to 19 years,:,
1961,Armenia,Total,:,
1961,Armenia,From 10 to 14 years,:,
1961,Armenia,From 15 to 19 years,:,
1961,Azerbaijan,Total,:,
1961,Azerbaijan,From 10 to 14 years,:,
1961,Azerbaijan,From 15 to 19 years,:,
1961,Georgia,Total,:,
1961,Georgia,From 10 to 14 years,:,
1961,Georgia,From 15 to 19 years,:,
1962,Belgium,Total,:,
1962,Belgium,From 10 to 14 years,:,
1962,Belgium,From 15 to 19 years,:,
1962,Bulgaria,Total,:,
1962,Bulgaria,From 10 to 14 years,:,
1962,Bulgaria,From 15 to 19 years,:,
1962,Czech Republic,Total,:,
1962,Czech Republic,From 10 to 14 years,:,
1962,Czech Republic,From 15 to 19 years,:,
1962,Denmark,Total,:,
1962,Denmark,From 10 to 14 years,:,
1962,Denmark,From 15 to 19 years,:,
1962,Germany (until 1990 former territory of the FRG),Total,:,
1962,Germany (until 1990 former territory of the FRG),From 10 to 14 years,:,
1962,Germany (until 1990 former territory of the FRG),From 15 to 19 years,:,
1962,Germany (including former GDR),Total,:,
1962,Germany (including former GDR),From 10 to 14 years,:,
1962,Germany (including former GDR),From 15 to 19 years,:,
1962,Estonia,Total,19959,
1962,Estonia,From 10 to 14 years,:,
1962,Estonia,From 15 to 19 years,:,
1962,Ireland,Total,:,
1962,Ireland,From 10 to 14 years,:,
1962,Ireland,From 15 to 19 years,:,
1962,Greece,Total,:,
1962,Greece,From 10 to 14 years,:,
1962,Greece,From 15 to 19 years,:,
1962,Spain,Total,:,
1962,Spain,From 10 to 14 years,:,
1962,Spain,From 15 to 19 years,:,
1962,France,Total,:,
1962,France,From 10 to 14 years,:,
1962,France,From 15 to 19 years,:,
1962,France (metropolitan),Total,:,
1962,France (metropolitan),From 10 to 14 years,:,
1962,France (metropolitan),From 15 to 19 years,:,
1962,Croatia,Total,:,
1962,Croatia,From 10 to 14 years,:,
1962,Croatia,From 15 to 19 years,:,
1962,Italy,Total,:,
1962,Italy,From 10 to 14 years,:,
1962,Italy,From 15 to 19 years,:,
1962,Cyprus,Total,:,
1962,Cyprus,From 10 to 14 years,:,
1962,Cyprus,From 15 to 19 years,:,
1962,Latvia,Total,:,
1962,Latvia,From 10 to 14 years,:,
1962,Latvia,From 15 to 19 years,:,
1962,Lithuania,Total,:,
1962,Lithuania,From 10 to 14 years,:,
1962,Lithuania,From 15 to 19 years,:,
1962,Luxembourg,Total,:,
1962,Luxembourg,From 10 to 14 years,:,
1962,Luxembourg,From 15 to 19 years,:,
1962,Hungary,Total,:,
1962,Hungary,From 10 to 14 years,:,
